route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C02317,IDFM:Operator_1004,T9,T9,,0,,3C91DC,FFFFFF,
IDFM:C01094,IDFM:Operator_100,57,57,,3,,6E6E00,FFFFFF,
IDFM:C01642,IDFM:1057,N134,N134,,3,,00643C,FFFFFF,
IDFM:C01105,IDFM:Operator_100,69,69,,3,,82C8E6,000000,
IDFM:C01111,IDFM:Operator_100,76,76,,3,,640082,FFFFFF,
IDFM:C01115,IDFM:Operator_100,83,83,,3,,FFBE00,000000,
IDFM:C01076,IDFM:Operator_100,26,26,,3,,FF5A00,000000,
IDFM:C01093,IDFM:Operator_100,56,56,,3,,A0006E,FFFFFF,
IDFM:C01110,IDFM:Operator_100,75,75,,3,,FFBE00,000000,
IDFM:C01112,IDFM:Operator_100,80,80,,3,,FF82B4,000000,
IDFM:C01636,IDFM:1076,N131,N131,,3,,FFBE00,000000,
IDFM:C01645,IDFM:1080,N139,N139,,3,,00643C,FFFFFF,
IDFM:C01103,IDFM:Operator_100,67,67,,3,,FF82B4,000000,
IDFM:C01421,IDFM:1081,N122,N122,,3,,3C91DC,FFFFFF,
IDFM:C01078,IDFM:Operator_100,28,28,,3,,FF82B4,000000,
IDFM:C01079,IDFM:Operator_100,29,29,,3,,82C8E6,000000,
IDFM:C01400,IDFM:Operator_100,N31,N31,,3,,FF82B4,000000,
IDFM:C01404,IDFM:1091,N32,N32,,3,,DC9600,000000,
IDFM:C01398,IDFM:1091,N34,N34,,3,,D2D200,000000,
IDFM:C01399,IDFM:1091,N33,N33,,3,,FF5A00,FFFFFF,
IDFM:C01401,IDFM:Operator_100,N21,N21,,3,,82DC73,000000,
IDFM:C01412,IDFM:1091,N35,N35,,3,,FFBE00,000000,
IDFM:C01634,IDFM:1056,N130,N130,,3,,FF1400,FFFFFF,
IDFM:C01370,IDFM:1064,HIRO,L'Hirondelle,,3,,00643C,FFFFFF,
IDFM:C01371,IDFM:Operator_100,1,1,,1,,FFBE00,000000,
IDFM:C01372,IDFM:Operator_100,2,2,,1,,0055C8,FFFFFF,
IDFM:C01384,IDFM:Operator_100,14,14,,1,,62259D,FFFFFF,
IDFM:C01100,IDFM:Operator_100,64,64,,3,,82DC73,000000,
IDFM:C01104,IDFM:Operator_100,68,68,,3,,FFBE00,000000,
IDFM:C01377,IDFM:Operator_100,7,7,,1,,F49FB3,000000,
IDFM:C01084,IDFM:Operator_100,39,39,,3,,A0006E,FFFFFF,
IDFM:C01085,IDFM:Operator_100,42,42,,3,,FFBE00,000000,
IDFM:C01125,IDFM:Operator_100,94,94,,3,,A0006E,FFFFFF,
IDFM:C01127,IDFM:Operator_100,96,96,,3,,DC9600,000000,
IDFM:C01209,IDFM:Operator_100,188,188,,3,,D282BE,000000,
IDFM:C01271,IDFM:Operator_100,299,299,,3,,FF5A00,000000,
IDFM:C00689,IDFM:1076,9115,EXPRESS 9115,,3,,3C91DC,FFFFFF,
IDFM:C01095,IDFM:Operator_100,58,58,,3,,00643C,FFFFFF,
IDFM:C01098,IDFM:Operator_100,62,62,,3,,6E5B1E,FFFFFF,
IDFM:C01099,IDFM:Operator_100,63,63,,3,,D2D200,000000,
IDFM:C01114,IDFM:Operator_100,82,82,,3,,FF5A00,000000,
IDFM:C01120,IDFM:Operator_100,88,88,,3,,D2D200,000000,
IDFM:C01121,IDFM:Operator_100,89,89,,3,,82C8E6,000000,
IDFM:C01154,IDFM:Operator_100,125,125,,3,,0055C8,FFFFFF,
IDFM:C01155,IDFM:Operator_100,126,126,,3,,82C8E6,000000,
IDFM:C01157,IDFM:Operator_100,128,128,,3,,6E5B1E,FFFFFF,
IDFM:C01159,IDFM:Operator_100,131,131,,3,,6E5B1E,FFFFFF,
IDFM:C01160,IDFM:Operator_100,132,132,,3,,640082,FFFFFF,
IDFM:C01330,IDFM:Operator_100,BIEVRES,La Traverse Bièvre Montsouris,,3,,BB4D98,FFFFFF,
IDFM:C01663,IDFM:1076,4502,4502,,3,,A50034,FFFFFF,
IDFM:C01362,IDFM:Operator_100,V5,V5,,3,,328E5B,FFFFFF,
IDFM:C01083,IDFM:Operator_100,38,38,,3,,0055C8,FFFFFF,
IDFM:C01075,IDFM:Operator_100,24,24,,3,,A0006E,FFFFFF,
IDFM:C01097,IDFM:Operator_100,61,61,,3,,00643C,FFFFFF,
IDFM:C01122,IDFM:Operator_100,91,91,,3,,DC9600,000000,
IDFM:C01314,IDFM:Operator_100,388,388,,3,,FFBE00,000000,
IDFM:C01648,IDFM:1057,N133,N133,,3,,FFBE00,000000,
IDFM:C01107,IDFM:Operator_100,72,72,,3,,FF1400,FFFFFF,
IDFM:C01126,IDFM:Operator_100,95,95,,3,,640082,FFFFFF,
IDFM:C01087,IDFM:Operator_100,46,46,,3,,D2D200,000000,
IDFM:C01088,IDFM:Operator_100,47,47,,3,,FF82B4,000000,
IDFM:C01205,IDFM:Operator_100,184,184,,3,,DC9600,000000,
IDFM:C01206,IDFM:Operator_100,185,185,,3,,FF5A00,000000,
IDFM:C01207,IDFM:Operator_100,186,186,,3,,A0006E,FFFFFF,
IDFM:C01391,IDFM:Operator_100,T3a,T3a,,0,,FF7E2E,000000,
IDFM:C01116,IDFM:Operator_100,84,84,,3,,D282BE,000000,
IDFM:C01118,IDFM:Operator_100,86,86,,3,,FF1400,FFFFFF,
IDFM:C01119,IDFM:Operator_100,87,87,,3,,640082,FFFFFF,
IDFM:C01810,IDFM:1076,9118,EXPRESS 9118,,3,,3C91DC,FFFFFF,
IDFM:C01229,IDFM:Operator_100,215,215,,3,,82DC73,000000,
IDFM:C01383,IDFM:Operator_100,13,13,,1,,6EC4E8,000000,
IDFM:C01287,IDFM:Operator_100,323,323,,3,,D2D200,000000,
IDFM:C01288,IDFM:Operator_100,325,325,,3,,82C8E6,000000,
IDFM:C01299,IDFM:Operator_100,351,351,,3,,F1C232,000000,
IDFM:C01374,IDFM:Operator_100,4,4,,1,,A0006E,FFFFFF,
IDFM:C01375,IDFM:Operator_100,5,5,,1,,FF7E2E,000000,
IDFM:C01376,IDFM:Operator_100,6,6,,1,,6ECA97,000000,
IDFM:C01378,IDFM:Operator_100,8,8,,1,,D282BE,000000,
IDFM:C01379,IDFM:Operator_100,9,9,,1,,B6BD00,000000,
IDFM:C01380,IDFM:Operator_100,10,10,,1,,C9910D,000000,
IDFM:C01382,IDFM:Operator_100,12,12,,1,,007852,FFFFFF,
IDFM:C01077,IDFM:Operator_100,27,27,,3,,FF5A00,000000,
IDFM:C02243,IDFM:Operator_100,25,25,,3,,FF1400,FFFFFF,
IDFM:C02245,IDFM:Operator_100,59,59,,3,,DC9600,000000,
IDFM:C02246,IDFM:Operator_100,71,71,,3,,6E491E,FFFFFF,
IDFM:C02251,IDFM:Operator_100,77,77,,3,,0055C8,FFFFFF,
IDFM:C01106,IDFM:Operator_100,70,70,,3,,FF5A00,000000,
IDFM:C01329,IDFM:Operator_100,CHARONNE,La Traverse de Charonne,,3,,216EB4,FFFFFF,
IDFM:C01201,IDFM:Operator_100,180,180,,3,,6E6E00,FFFFFF,
IDFM:C01336,IDFM:1064,MONTBUS,MONTBUS,,3,,82DC73,000000,
IDFM:C02634,IDFM:1081,N162,N162,,3,,3C91DC,FFFFFF,
IDFM:C02635,IDFM:1081,N160,N160,,3,,6E491E,FFFFFF,
IDFM:C02659,IDFM:1076,N123,N123,,3,,A50034,FFFFFF,
