route_id,mode_transport,route_short_name,route_type
IDFM:C00815,Bus,34,3
IDFM:C01792,Bus,N2,3
IDFM:C00562,Bus,N1,3
IDFM:C00563,Tram,CDG VAL,0
IDFM:C01385,Funiculaire,FUN,7
IDFM:C01386,Métro,3B,1
IDFM:C01382,Métro,12,1
IDFM:C01390,Tram,T2,0
IDFM:C01393,Bus,N52,3
IDFM:C01395,Bus,N44,3
IDFM:C01400,Bus,N31,3
IDFM:C01401,Bus,N21,3
IDFM:C01409,Bus,N53,3
IDFM:C01381,Métro,11,1
IDFM:C01679,Tram,T3b,0
IDFM:C01380,Métro,10,1
IDFM:C01774,Tram,T7,0
IDFM:C01794,Tram,T6,0
IDFM:C01795,Tram,T8,0
IDFM:C01379,Métro,9,1
IDFM:C01378,Métro,8,1
IDFM:C01377,Métro,7,1
IDFM:C02834,Bus,240,3
IDFM:C02526,Bus,N155,3
IDFM:C01376,Métro,6,1
IDFM:C01374,Métro,4,1
IDFM:C01373,Métro,3,1
IDFM:C01642,Bus,N134,3
IDFM:C01643,Bus,N135,3
IDFM:C01648,Bus,N133,3
IDFM:C02768,Bus,Soir,3
IDFM:C02770,Bus,Soir,3
IDFM:C02773,Bus,Soir,3
IDFM:C02774,Bus,Soir,3
IDFM:C02513,Bus,Soir,3
IDFM:C01372,Métro,2,1
IDFM:C01371,Métro,1,1
IDFM:C00960,Bus,7708,3
IDFM:C01634,Bus,N130,3
IDFM:C01422,Bus,N153,3
IDFM:C01330,Bus,BIEVRES,3
IDFM:C01640,Bus,N142,3
IDFM:C02595,Bus,Soir,3
IDFM:C02580,Bus,Soir,3
IDFM:C01644,Bus,N143,3
IDFM:C01867,Bus,20,3
IDFM:C02060,Bus,Filéo RS,3
IDFM:C02602,Bus,Soir,3
IDFM:C02603,Bus,Soir,3
IDFM:C01500,Bus,7705,3
IDFM:C00834,Bus,3504,3
IDFM:C00835,Bus,3505,3
IDFM:C01636,Bus,N131,3
IDFM:C02659,Bus,N123,3
IDFM:C01421,Bus,N122,3
IDFM:C02634,Bus,N162,3
IDFM:C02635,Bus,N160,3
IDFM:C01645,Bus,N139,3
IDFM:C02631,Bus,4250,3
IDFM:C00770,Bus,1223,3
IDFM:C00448,Bus,30-18,3
IDFM:C00466,Bus,30-42,3
IDFM:C02709,Bus,N148,3
IDFM:C01647,Bus,N154,3
IDFM:C01641,Bus,N152,3
IDFM:C01637,Bus,N150,3
IDFM:C02344,Tram,T13,0
IDFM:C02529,Tram,T12,0
IDFM:C01388,Tram,ORLYVAL,0
IDFM:C01544,Bus,Selected,3
IDFM:C01545,Bus,CDG,3
IDFM:C01546,Bus,Orly,3
IDFM:C01832,Bus,C,3
IDFM:C01836,Bus,G,3
IDFM:C01837,Bus,J,3
IDFM:C02723,Bus,A04 VIL,3
IDFM:C01223,Bus,208,3
IDFM:C02666,Autre,C1,6
IDFM:C01187,Bus,165,3
IDFM:C02681,Bus,3752,3
IDFM:C00004,Bus,483,3
IDFM:C00887,Bus,3612,3
IDFM:C01383,Métro,13,1
IDFM:C01194,Bus,173,3
IDFM:C01384,Métro,14,1
IDFM:C01189,Bus,167,3
IDFM:C00885,Bus,3610,3
IDFM:C01185,Bus,163,3
IDFM:C01071,Bus,TVM,3
IDFM:C01669,Bus,3705,3
IDFM:C00619,Bus,2252,3
IDFM:C01183,Bus,160,3
IDFM:C01182,Bus,159,3
IDFM:C01181,Bus,158,3
IDFM:C00882,Bus,3605,3
