route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
IDFM:C01624,IDFM:1080,4244,4244,,3,,82DC73,000000,
IDFM:C02313,IDFM:1081,5310,5310,,3,,87D3DF,000000,
IDFM:C00029,IDFM:1087,502,502,,3,,FBE324,000000,
IDFM:C00632,IDFM:64,2234,2234,,3,,640082,FFFFFF,
IDFM:C00164,IDFM:1081,5233,5233,,3,,E0B03B,000000,
IDFM:C00756,IDFM:1052,5490,5490,,3,,9B9842,FFFFFF,
IDFM:C02317,IDFM:Operator_1004,T9,T9,,0,,3C91DC,FFFFFF,
IDFM:C01843,IDFM:Operator_1042,T4,T4,,0,,DC9600,000000,
IDFM:C00676,IDFM:1060,4613,4613,,3,,0065AE,FFFFFF,
IDFM:C00324,IDFM:1054,1,1,,3,,8CE39C,FFFFFF,
IDFM:C01350,IDFM:Operator_100,565,565,,3,,00643C,FFFFFF,
IDFM:C01094,IDFM:Operator_100,57,57,,3,,6E6E00,FFFFFF,
IDFM:C02265,IDFM:1069,T'bus 1,T'bus 1,,3,,E3051B,FFFFFF,
IDFM:C01934,IDFM:1077,6284,6284,,3,,6E6E00,FFFFFF,
IDFM:C02148,IDFM:1054,S1,S1,,3,,A38C57,FFFFFF,
IDFM:C02220,IDFM:1058,Soir,Soir Mennecy,,3,,640082,FFFFFF,
IDFM:C00305,IDFM:1049,1533,1533,,3,,F49FB3,FFFFFF,
IDFM:C02290,IDFM:1074,3426,3426,,3,,FFBE00,000000,
IDFM:C01167,IDFM:Operator_100,141,141,,3,,DC9600,000000,
IDFM:C00325,IDFM:1054,12,12,,3,,82C8E6,000000,
IDFM:C00527,IDFM:1061,6183,6183,,3,,640082,FFFFFF,
IDFM:C00582,IDFM:1057,4111,4111,,3,,0055C8,FFFFFF,
IDFM:C01639,IDFM:1055,N141,N141,,3,,1765AE,FFFFFF,
IDFM:C02291,IDFM:1056,TàD 2429,TàD 2429,,3,,FFBE00,000000,
IDFM:C02301,IDFM:1088,GPSO Bus,GPSO Bus,,3,,FF9900,FFFFFF,
IDFM:C02300,IDFM:1088,469,469,,3,,F9BD1B,000000,
IDFM:C01640,IDFM:1070,N142,N142,,3,,A0006E,FFFFFF,
IDFM:C01642,IDFM:1057,N134,N134,,3,,00643C,FFFFFF,
IDFM:C01436,IDFM:1073,3303,3303,,3,,C5A3CD,000000,
IDFM:C01105,IDFM:Operator_100,69,69,,3,,82C8E6,000000,
IDFM:C02298,IDFM:64,2245,2245,,3,,FFBE00,000000,
IDFM:C00495,IDFM:1060,4611,4611,,3,,009A7A,FFFFFF,
IDFM:C00955,IDFM:1055,2308,2308,,3,,D81466,FFFFFF,
IDFM:C02270,IDFM:1059,4434,4434,,3,,CEADD2,000000,
IDFM:C01674,IDFM:1082,1222,1222,,3,,006DB8,FFFFFF,
IDFM:C01675,IDFM:1083,100,100,,3,,3C91DC,FFFFFF,
IDFM:C01504,IDFM:1078,3261,3261,,3,,6E6E00,FFFFFF,
IDFM:C01535,IDFM:1068,5142,5142,,3,,6E6E00,FFFFFF,
IDFM:C01285,IDFM:1087,321,321,,3,,FFBE00,000000,
IDFM:C01772,IDFM:1077,6230,6230,,3,,00A092,FFFFFF,
